SlNo,Course
1,Advanced diploma in Dredging technology
2,Appreciation Programme on Citizen Journalism
3,Bachelor in Hotel Management
4,Bachelor of Architecture
5,Bachelor of Architecture Interior Design
6,Bachelor of Arts
7,Bachelor of Arts & Bachelor of Law
8,Bachelor of Arts (General)
9,Bachelor of Arts Acient Indian Culture
10,Bachelor of Arts Arabic
11,Bachelor of Arts Arabic (Honors)
12,Bachelor of Arts Bengali
13,Bachelor of Arts Bengali (Honors)
14,Bachelor of Arts Business Economics
15,Bachelor of Arts Business Economics (Honors)
16,Bachelor of Arts Economics
17,Bachelor of Arts Economics (Honors)
18,Bachelor of Arts Education
19,Bachelor of Arts English
20,Bachelor of Arts English (Honors)
21,Bachelor of Arts Folklore
22,Bachelor of Arts Geography
23,Bachelor of Arts Geography (Honors)
24,Bachelor of Arts Gujarati
25,Bachelor of Arts Hindi
26,Bachelor of Arts Hindi (Honors)
27,Bachelor of Arts Hindi Patrakarita Evam Jansanchar
28,Bachelor of Arts Hindi Patrakarita Evam Jansanchar (Honors)
29,Bachelor of Arts History
30,Bachelor of Arts History (Honors)
31,Bachelor of Arts Home Science
32,Bachelor of Arts Home Science (Honors)
33,Bachelor of Arts International Hospitality Administration
34,Bachelor of Arts Journalism
35,Bachelor of Arts Marathi
36,Bachelor of Arts Mathematics
37,Bachelor of Arts Mathematics (Honors)
38,Bachelor of Arts Music
39,Bachelor of Arts Music (Honors)
40,Bachelor of Arts Persian
41,Bachelor of Arts Persian (Honors)
42,Bachelor of Arts Philosophy
43,Bachelor of Arts Philosophy (Honors)
44,Bachelor of Arts Political Science
45,Bachelor of Arts Political Science (Honors)
46,Bachelor of Arts Politics
47,Bachelor of Arts Prayojan Mulak Hindi
48,Bachelor of Arts Psychology
49,Bachelor of Arts Psychology (Honors)
50,Bachelor of Arts Public Service
51,Bachelor of Arts Punjabi
52,Bachelor of Arts Punjabi (Honors)
53,Bachelor of Arts Sanskrit
54,Bachelor of Arts Sanskrit (Honors)
55,Bachelor of Arts Social Work
56,Bachelor of Arts Social Work (Honors)
57,Bachelor of Arts Sociology
58,Bachelor of Arts Sociology (Honors)
59,Bachelor of Arts Tamil
60,Bachelor of Arts Urdu
61,Bachelor of Arts Urdu (Honors)
62,Bachelor of Arts Vocational Studies
63,Bachelor of Arts Vyavaharik and Upyojit Marathi
64,Bachelor of Audiology and Speech Language Pathology
65,Bachelor of Ayurvedic Medicine & Surgery
66,Bachelor of Business Administration
67,Bachelor of Business Administration (Foreign Trade)
68,Bachelor of Business Administration (Hospitality Managment)
69,Bachelor of Business Administration (Hospitality Managment/Tourist & Travel Management)
70,Bachelor of Business Administration (Information Systems Management)
71,Bachelor of Business Administration (Information Technology Management)
72,Bachelor of Business Administration (Shipping)
73,Bachelor of Business Administration Hotel & Tourism Management
74,Bachelor of Business Administration Insurance & Banking
75,Bachelor of Business Adminsitration
76,Bachelor of Business Management
77,Bachelor of Business Studies
78,Bachelor of Commerce
79,Bachelor of Commerce (General)
80,Bachelor of Commerce (Honors)
81,Bachelor of Commerce (Professional)
82,Bachelor of Commerce Accountancy
83,Bachelor of Commerce Accounting and Finance
84,Bachelor of Commerce Banking & Insurance
85,Bachelor of Commerce Banking and Finance
86,Bachelor of Commerce Business Economics
87,Bachelor of Commerce Corporate Law
88,Bachelor of Commerce Economics
89,Bachelor of Commerce Environmental Science
90,Bachelor of Commerce Financial Markets
91,Bachelor of Commerce Vocational
92,Bachelor of Computer Application
93,Bachelor of Dental Surgery
94,Bachelor of Education
