SlNo,Institute
1,Saraswati College Of Engineering
3,Hindi Seva Mandal'S Shri Sant Gadge Baba College Of Engineering & Technology
,Hindi Seva Mandal'S Shri Sant Gadge Baba College Of Engineering and Technology
,Shri Sant Gadge Baba College
,Shri Sant Gadge Baba College of Engineering and Technology
5,K. K. Wagh Institute Of Engineering Education & Research
,KK Wagh Institue Of Engineering Education & Research
,K.K. Wagh Institue Of  Engineering Education and Research
10,Walchand Institute Of Technology
11,Pravara Rural Engineering College
12,Kasegaon Education Societys Rajarambapu Institute Of Technology
,KE Society’s Rajarambapu Institute of Technology
,Rajarambapu Institute of Technology
13,Thakur College Of Engineering & Technology
,TCET - Thakur College Of Engineering and Technology
,Thakur College Of Engineering and Technology
14,College Of Engineering
16,G. H. Raisoni College Of Engineering
,G H Raisoni College Of Engineering and Management
,G H Raisoni College Of Engineering
18,Yadavrao Tasgaonkar College Of Engineering & Management
,Yadavrao Tasgaonkar College of Engineering and Management
19,Fr. Conceicao Rodrigues College Of Engineering
20,Vidyalankar Institute Of Technology
22,Smt. Kashibai Navale College Of Engineering
,Smt Kashibai Navale College Of Engineering 
23,Bharatiya Vidya Bhavans Sardar Patel Institute Of Technology
,Sardar Patel Institute of Technology
,Bharatiya Vidya Bhavan's Sardar Patel College of Engineering
30,Rajendra Mane College Of Engineering & Technology
,Rajendra Mane College Of Engineering and Technology
31,G. H. Raisoni College Of Engineering & Technology
,G H Raisoni Institute Of Engineering & Technology
,G. H. Raisoni Institute Of Engineering & Technology
,G H Raisoni Institute of Engineering and Technology
33,Priyadarshani Indira Gandhi College Of Engineering
,Priyadarshini College of Engineering
,Priyadarshini Indira Gandhi College Of Engineering
36,Annasaheb Dange College Of Engineering And Technology
37,Annasaheb Dange College Of Engineering & Technology
40,Godavari College Of Engineering
41,Sinhgad Academy Of Engineering
42,Vishwakarma Institute Of Technology
44,Padmashree Dr. D. Y. Patil Institute Of Engineering & Technology
,Dr. DY Patil Institute of Technology: Engineering College
,Dr. D.Y. Patil College of Engineering
,Padmashree Dr D Y Patil Institute Of Engineering & Technology
,Padmashree Dr. D Y Patil Institute Of Engineering and Technology
,Padmashree Dr. D Y Patil Institute Of Engineering & Technology
45,Jawaharlal Darda Institute Of Engineering & Technology
,Jawaharlal Darda Institute of Engineering and Technology
46,S. V. P.M.'S College Of Engineering
,SVPM's College of Engineering
50,Bharati Vidyapeeth's College Of Engineering
,Bharati Vidyapeeth College of Engineering
56,Sinhgad Institute Of Technology
57,Brahmdevdada Mane Institute Of Technology
58,College Of Engineering & Technology
,College Of Engineering and Technology
59,Datta Meghe College Of Engineering
60,H.V.P. Mandal'S College Of Engineering & Technology
,Shree Hanuman Vyayam Prasarak Mandal College of Engineering & Technology
,HVPM College Of Engineering And Technology
62,Mahatma Gandhi Mission's
,Mahatma Gandhi Mission's College of Engineering and Technology
63,Vishwakarma Institute Of Information Technology
65,SRES'S K.B.P. Polytechnic
,Sanjivani K B P Polytechnic
,Sress K.B.P. Polytechnic
,Sress KBP Polytechnic
66,Maharashtra Academy Of Engineering & Educational Research'S Maharashtra Institute Of Pharmacy
,Maharashtra Academy Of Engineering and Educational Research'S Maharashtra Institute Of Pharmacy
68,Shri Tuljabhavani College Of Engineering
75,Yeshwantrao Chavan College Of Engineering
77,Shri Ramdeobaba Kamala Nehru Engineering College
84,Modern Education Society'S College Of Engineering
88,Bharat Ratna Indira Gandhi College Of Engineering
89,SND College Of Engineering & Research Center
,SND College of Engineering and Research Center
93,Anjuman College Of Engineering & Technology
,Anjuman College Of Engineering and Technology
95,Genba Sopanrao Moze Trust'S Parvatibai College Of Engineering
,Genba Sopanrao Moze College of Engineering
101,Shah And Anchor Kutchhi Engineering College
,Shah & Anchor Kutchhi Engineering College
103,Army Institute Of Technology
105,Ramrao Adik Institute Of Technology
106,Shri Guru Gobind Singhji Institute Of Engineering And Technology
107,Samarth Samaj S. H. Jondhale Polytechnic
,S. H Jondhale Polytechnic
,SH JONDHALE POLYTECHNIC
113,Priyadarshini Institute Of Technology
,Priyadarshini Institute of Technology and Science
116,M. S. Bidve Engineering College
,MS Bidve Engineering College
119,SIES Graduate School Of Tehnology
120,JSPM'S Rajarshi Shahu College Of Engineering
,Rajarshi Shahu College of Engineering
121,Sinhgad Technical Education Society'S Sou. Venutai Chavan Polytechnic
,Sou. Venutai Chavan Polytechnic
126,Marathwada Institute Of Technology
132,Jawahar Education Society'S A. C. Patil College Of Engineering
,Jawahar Education Society'S A C Patil College Of Engineering
135,Veermata Jijabai Technological Institute
137,Met'S Institute Of Engineering
140,Sir Visvesvaraya Institute Of Technology
,Sir M. Visvesvaraya Institute of Technology
141,Babasaheb Naik College Of Engineering
144,Genba Sopanrao Moze College Of Engineering
147,Pillais Institute Of Information Technology
149,Terna Public Charitable Trust'S Terna Engineering College
,Terna Engineering College
151,Padmabhooshan Vasantraodada Patil Institute Of Technology
158,KITS College Of Engineering
,Kumaran Institute Of Technology
159,SCTR'S Pune Institute Of Computer Technology
,Pune Institute of Computer Technology
,Sctrs Pune Institute Of Computer Technology
167,Hi-Tech Polytechnic
,Hitech Polytechnic College
168,Rajiv Gandhi College Of Engineering
169,Padmabhooshan Vasantdada Patil Institute Of Technology
171,Matsyodari Shikshan Sanstha'S College Of Engineering And Technology
173,Parshvanath Charitable Trust'S M.M.J.Shah Polytechnic
,Parshvanath College of Engineering
,M M J Shah Polytechnic
177,St. Vincent Pallotti College Of Engg. & Technology
,St. Vincent Palloti College of Engineering and Technology
,St. Vincent Pallotti College of Engineering & Technology
180,Karmaveer Bhaurao Patil College Of Engineering & Poly
,Karmaveer Bhaurao Patil College Of Engineering
183,Lokmanya Tilak College Of Engineering
190,Shri Vile Parle Kelavani Mandal'S Dwarkadas J. Sanghvi College Of Engineering
,Dwarkadas J. Sanghvi College of Engineering
191,SVERI'S College Of Engineering
,Shri Vithal Education & Research Institute
201,Progressive Education Society'S Modern College Of Engineering
,P.E.S's MODERN COLLEGE OF ENGINEERING
204,D.Y.Patil College Of Engineering
,D Y Patil College Of Engineering
208,SWVSM'S Tatyasaheb Kore Institute Of Engineering And Technology
,Tatyasaheb Kore Institute Of Engineering And Technology
213,University Department Of Chemical Technology
,Institute of Chemical Technology 
216,P.E.S. College Of Engineering
,PES College Of Engineering
228,Jayawant Shikshan Prasarak Mandal's Imperial College Of Engineering And Research
,Jayawant Shikshan Prasarak Mandal 
248,MGM'S College Of Engineering And Technology
,Mahatma Gandhi Mission's College of Engineering and Technology
255,Dr Babasaheb Ambedkar Technological University
,Dr. Babasaheb Ambedkar Technological University
268,Sardar Patel College Of Engineering
281,Usha Mittal Institute Of Technology
300,Laxminarayan Institute Of Technology
304,Siddhant College Of Engineering
305,Manoharbhai Patel Institute Of Engineering & Technology
,Manoharbhai Patel Institute Of Engineering and Technology
306,MCT'S Rajiv Gandhi Institute Of Technology
,Rajiv Gandhi Institute of Technology
307,K. D. K. College Of Engineering
,KDK College of Engineering
308,Gharda Institute Of Technology
311,K.J. Somaiya Institute Of Engineering & Information Technology
,KJ Somaiya Institute Of Engineering And Information Technology
,K. J. Somaiya Institute of Engineering and Information Technology
312,Nagnathappa Halge College Of Engineering
314,Shree Chanakya Education Society'S Indira College Of Engineering And Management
,Indira College of Engineering and Management
315,Maharshi Karve Stree Shikshan Samstha'S Cummins College Of Engineering
,Cummins College of Engineering
319,Konkan Gyanpeeth College Of Engineering
324,Maharashtra Academy Of Engineering
325,Anuradha Engineering College
327,Don Bosco Institute Of Technology
330,Prof Ram Meghe College Of Engineering & Management
,Prof Ram Meghe College Of Engineering and Management
332,Sindhudurg Shikshan Prasarak Mandal'S College Of Engineering
,SSPM's College of Engineering
333,Xavier Institute Of Engineering
334,Shri Sant Gajanan Maharaj College Of Engineering
338,Smt Indira Gandhi College Of Engineering
339,N.D.M.V.P. Samaj'S College Of Architecture
,NDMVP Samaj's College of Architecture
343,All India Shri Shivaji Memorial society'S College Of Engineering
,AISSMS College of Engineering
344,Padmabhushan Vasantdada Patil Pratishthan'S College Of Engineering
345,Marathwada Mitra Mandal'S Institute Of Technology
353,Smt. Radhikatai Pandav College Of Engineering
356,Khandesh College Education Society'S College Of Engineering & Information Technology
357,Maharashtra College Of Engineering
358,J.T. Mahajan College Of Engineering
,J T Mahajan College Of Engineering
375,St. Francis Institute Of Technology
,St Francis Institute Of Technology
379,Poona District Education Association'S Seth Rajiv Govind Sable Institute Of Technology
,Pune District Education Association Institute of Technology
380,Pune Vidyarthi Griha'S College Of Engineering
,Pune Vidhyarthi Griha's College of Engineering and Technology
383,Kavikulguru Institute Of Technology And Science
,Kavikulguru Institute Of Technology & Science
384,Rizvi College Of Engineering
388,Vidyavardhini'S College Of Engineering And Technology
,Vidyavardhini'S College Of Engineering & Technology
389,Bharati Vidyapeeth's Jawaharlal Nehru Institute Of Technology
394,All India Shri Shivaji Memorial Society'S Institute Of Information Technology
,AISSMS Institute of Information Technology
396,MAEER MIT'S Sri Savitribai Phule Polytechnic
,Maeer Mits Sri Savitribai Phule Polytechnic
397,Walchand College Of Engineering
398,Bharati Vidyapeeth College Of Engineering
399,Watumull Institute Of Electronics Engineering And Computer Technology
,Watumull Institute Of Electronics Engineering & Computer Technology
410,Atharva College Of Engineering
414,D. Y. Patil College Of Engineering & Technology
,D Y Patil College Of Engineering & Technology
419,Sanjay Education Society'S College Of Engineering
420,Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivajirao Deore Polytechnic
422,Vivekanand Education Society'S Polytechnic
423,K.C. College Of Engineering
,K C College Of Engineering
427,Anjuman-I-Islam'S M. H. Saboo Siddik College Of Engineering
,M.H. Saboo Siddik College of Engineering
,MH Saboo Siddik College of Engineering
428,Shri Neminath Jain Bramhacharyashram Shri. S.N.J.B. Polytechnic
,Shri Neminath Jain Bramhacharyashram Shri. SNJB Polytechnic
431,Bharati Vidyapeeth's College Of Engineering
435,Zeal Education Society'S Dnyanganga Polytechnic
437,Thadomal Shahani Engineering College
442,Mes's Rajaram Shinde Institute Of Engineering And Technology
,Mes's Rajaram Shinde Institute Of Engineering & Technology
,Rajaram Shinde College of Engineering
450,Padmashri Dr Vithalrao Vikhe Patil College Of Engineering
